Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",latitude,longitude,num_stops,num_stations,num_schools,num_restaurants,num_landmarks,total_transport
"3/75 Dawson Street, 
BRUNSWICK VIC 3056",BRUNSWICK,525.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,-37.7713508,144.959483,6.0,2.0,13.0,0.0,0.0,8.0
"6/33 Coorigil Road, 
CARNEGIE VIC 3163",CARNEGIE,525.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,-37.8957635,145.0615295,0.0,0.0,7.0,0.0,0.0,0.0
"52 Wyperfeld Circuit, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,525.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,-37.7473813,144.7256268,0.0,0.0,3.0,0.0,0.0,0.0
"27 Bellavita Avenue, 
CLYDE VIC 3978",CLYDE,525.0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,-38.1299479,145.3650344,0.0,0.0,0.0,0.0,0.0,0.0
"20 Matchett Drive, 
CLYDE VIC 3978",CLYDE,525.0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"21 Lindbergh Boulevard, 
DIGGERS REST VIC 3427",DIGGERS REST,540.0,5297.0,102.1,32.7,3732.0,0.0,0.0,37.0,5.0,10.0,14.0,3.0,4.0,0.0,61.0,1950.0,161.0,0.0,396.0,402.0,0.0,145.0,-37.6203451,144.6970636,0.0,0.0,0.0,0.0,0.0,0.0
"702S/889 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,540.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"511N/889 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,540.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"11/14 Broadway, 
ELWOOD VIC 3184",ELWOOD,540.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,-37.8817016,144.9826312,0.0,0.0,8.0,0.0,0.0,0.0
"7/233 Brighton Road, 
ELWOOD VIC 3184",ELWOOD,540.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,-37.8780603,144.9933026,6.0,1.0,15.0,0.0,0.0,7.0
"9 Genesis Drive, 
EPPING VIC 3076",EPPING,540.0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,-37.6230725,144.9994497,0.0,0.0,2.0,0.0,0.0,0.0
"609D/4 Tannery Walk, 
FOOTSCRAY VIC 3011",FOOTSCRAY,540.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"12-18 Napier Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,540.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,-37.8038592,144.9000404,4.0,1.0,7.0,2.0,0.0,5.0
"711/1-11 Moreland Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,540.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"2/37 Williams Street, 
FRANKSTON VIC 3199",FRANKSTON,540.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,-38.1533939,145.1283343,0.0,0.0,7.0,0.0,0.0,0.0
"1/26 Lawson Avenue, 
FRANKSTON VIC 3199",FRANKSTON,540.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,-38.1694231,145.1383551,0.0,0.0,7.0,0.0,0.0,0.0
"3/6 Charles Avenue, 
HALLAM VIC 3803",HALLAM,540.0,11603.0,1440.2,36.2,7445.0,0.0,0.0,22.0,47.0,63.0,70.0,17.0,61.0,5.0,6.0,3000.0,836.0,50.0,361.0,918.0,121.0,192.0,-37.9965761,145.2573293,0.0,0.0,2.0,0.0,0.0,0.0
"125/77-81 Hobsons Road, 
KENSINGTON VIC 3031",KENSINGTON,540.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"1/11 Tyquin Street, 
LAVERTON VIC 3028",LAVERTON,540.0,11643.0,523.4,32.2,8591.0,0.0,0.0,56.0,65.0,44.0,122.0,25.0,78.0,9.0,77.0,3606.0,529.0,268.0,380.0,1729.0,69.0,578.0,-37.8548931,144.7783569,0.0,0.0,5.0,0.0,0.0,0.0
"1/134 Mill Park Drive, 
MILL PARK VIC 3082",MILL PARK,540.0,28989.0,4469.6,79.5,19968.0,0.0,0.0,194.0,139.0,60.0,110.0,33.0,115.0,6.0,14.0,9397.0,1082.0,289.0,734.0,2288.0,128.0,524.0,-37.6711482,145.0653893,0.0,0.0,6.0,0.0,0.0,0.0
"11 Richardson Drive, 
MORNINGTON VIC 3931",MORNINGTON,540.0,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,-38.2300062,145.0540183,0.0,0.0,0.0,0.0,0.0,0.0
"29 Merrill Street, 
MULGRAVE VIC 3170",MULGRAVE,540.0,20078.0,1873.1,39.7,12646.0,0.0,0.0,23.0,148.0,124.0,138.0,37.0,93.0,7.0,53.0,6123.0,1229.0,25.0,430.0,1530.0,93.0,366.0,-37.928691,145.1703088,0.0,0.0,7.0,0.0,0.0,0.0
"34 Einstein Avenue, 
MULGRAVE VIC 3170",MULGRAVE,540.0,20078.0,1873.1,39.7,12646.0,0.0,0.0,23.0,148.0,124.0,138.0,37.0,93.0,7.0,53.0,6123.0,1229.0,25.0,430.0,1530.0,93.0,366.0,-37.9309308,145.1815898,0.0,0.0,9.0,0.0,0.0,0.0
"18/43 Raleigh Street, 
ESSENDON VIC 3040",ESSENDON,525.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,-37.753146,144.9195346,8.0,1.0,14.0,0.0,0.0,9.0
"2/179 Beach Street, 
FRANKSTON VIC 3199",FRANKSTON,525.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,-38.1433359,145.1340071,0.0,0.0,6.0,0.0,0.0,0.0
"2/19 Martin Place, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,525.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,-37.8684593,145.1631759,0.0,0.0,10.0,0.0,0.0,0.0
"31 Warana Drive, 
HAMPTON PARK VIC 3976",HAMPTON PARK,525.0,13523.0,2639.5,34.1,9188.0,0.0,0.0,61.0,46.0,19.0,76.0,9.0,37.0,4.0,9.0,4209.0,308.0,40.0,350.0,1244.0,73.0,247.0,-38.0329829,145.2795283,0.0,0.0,0.0,0.0,0.0,0.0
"2/18 Johnstone Street, 
MALVERN VIC 3144",MALVERN,525.0,22221.0,2936.7,38.2,14931.0,0.0,0.0,25.0,320.0,184.0,122.0,54.0,103.0,0.0,105.0,4789.0,2224.0,2731.0,421.0,2540.0,205.0,746.0,-37.867502,145.0350359,3.0,0.0,12.0,0.0,0.0,3.0
"108/45 Edgewater Boulevard, 
MARIBYRNONG VIC 3032",MARIBYRNONG,525.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,-37.7851866,144.894916,4.0,0.0,7.0,0.0,0.0,4.0
"3/51 Surrey Street, 
PASCOE VALE VIC 3044",PASCOE VALE,430.0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,-37.7254148,144.9486396,0.0,0.0,11.0,0.0,0.0,0.0
"1/58 View Street, 
PASCOE VALE VIC 3044",PASCOE VALE,430.0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,-37.7222095,144.9276412,0.0,0.0,11.0,0.0,0.0,0.0
"2/23 Tenerrife Crescent, 
POINT COOK VIC 3030",POINT COOK,430.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.8987112,144.7411147,0.0,0.0,7.0,0.0,0.0,0.0
"12 Tattersalls Lane, 
POINT COOK VIC 3030",POINT COOK,430.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.910323,144.7594073,0.0,0.0,4.0,0.0,0.0,0.0
"32 Botha Avenue, 
RESERVOIR VIC 3073",RESERVOIR,430.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,-37.7040776,145.0002825,0.0,0.0,9.0,0.0,0.0,0.0
"38 Goulburn Avenue, 
RESERVOIR VIC 3073",RESERVOIR,430.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,-37.7219841,145.0204476,2.0,0.0,14.0,0.0,0.0,2.0
"6/16-18 Compton Street, 
RESERVOIR VIC 3073",RESERVOIR,430.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,-37.7127056,145.0029246,0.0,0.0,11.0,0.0,0.0,0.0
"77B St Anthony Court, 
SEABROOK VIC 3028",SEABROOK,430.0,5002.0,3087.8,37.1,3399.0,0.0,0.0,18.0,11.0,11.0,23.0,8.0,11.0,3.0,3.0,1726.0,58.0,25.0,361.0,326.0,10.0,119.0,-37.8793286,144.7525167,0.0,0.0,4.0,0.0,0.0,0.0
"21 Arnold Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,430.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,-37.8350264,144.9766707,7.0,0.0,10.0,67.0,10.0,7.0
"103/33 Clarke Street, 
SOUTHBANK VIC 3006",SOUTHBANK,430.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,-37.8261037,144.9588015,11.0,0.0,7.0,413.0,35.0,11.0
"3/1 Dodds Street, 
SPRINGVALE VIC 3171",SPRINGVALE,430.0,35275.0,4822.8,73.8,24219.0,0.0,0.0,51.0,139.0,72.0,248.0,38.0,233.0,11.0,47.0,8843.0,2242.0,955.0,711.0,3856.0,439.0,1078.0,-37.9611735,145.1629556,0.0,0.0,12.0,0.0,0.0,0.0
"5/1 Dodds Street, 
SPRINGVALE VIC 3171",SPRINGVALE,430.0,35275.0,4822.8,73.8,24219.0,0.0,0.0,51.0,139.0,72.0,248.0,38.0,233.0,11.0,47.0,8843.0,2242.0,955.0,711.0,3856.0,439.0,1078.0,-37.9611735,145.1629556,0.0,0.0,12.0,0.0,0.0,0.0
"105/157 Fitzroy St, 
ST KILDA VIC 3182",ST KILDA,430.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,-37.8579627,144.9805846,14.0,0.0,13.0,2.0,0.0,14.0
"17/1 Duke Street, 
ST KILDA VIC 3182",ST KILDA,430.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,-37.8674413,144.9895937,22.0,1.0,18.0,0.0,0.0,23.0
"20/10 Acland Street, 
ST KILDA VIC 3182",ST KILDA,430.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,-37.8661682,144.9774842,9.0,0.0,14.0,0.0,0.0,9.0
"201/2 Princes Street, 
ST KILDA VIC 3182",ST KILDA,430.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,-37.8580398,144.9804549,14.0,0.0,13.0,2.0,0.0,14.0
"302/40-44 Pakington Street, 
ST KILDA VIC 3182",ST KILDA,430.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"1 Wiseman Court, 
ESSENDON VIC 3040",ESSENDON,800.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,-37.7521745,144.9267519,2.0,0.0,14.0,0.0,0.0,2.0
"14 Faulkner Street, 
HAMPTON VIC 3188",HAMPTON,795.0,18406.0,3237.8,43.6,11941.0,0.0,0.0,38.0,201.0,125.0,88.0,58.0,88.0,8.0,91.0,4586.0,1710.0,1546.0,471.0,1776.0,64.0,347.0,-37.93269235,145.02162902742035,0.0,0.0,10.0,0.0,0.0,0.0
"16 Meehan Court, 
KEILOR VIC 3036",KEILOR,800.0,23770.0,3258.5,88.4,14126.0,0.0,0.0,43.0,162.0,154.0,144.0,38.0,104.0,18.0,82.0,7727.0,1560.0,54.0,804.0,1393.0,26.0,305.0,-37.7194945,144.8287754,0.0,0.0,6.0,0.0,0.0,0.0
"2/4 Riverside Avenue, 
KEILOR VIC 3036",KEILOR,800.0,23770.0,3258.5,88.4,14126.0,0.0,0.0,43.0,162.0,154.0,144.0,38.0,104.0,18.0,82.0,7727.0,1560.0,54.0,804.0,1393.0,26.0,305.0,-37.7248555,144.8359428,0.0,0.0,2.0,0.0,0.0,0.0
"402/37 Burgundy Street, 
HEIDELBERG VIC 3084",HEIDELBERG,420.0,15038.0,2247.4,35.3,10669.0,0.0,0.0,139.0,118.0,35.0,77.0,18.0,49.0,6.0,77.0,4091.0,2466.0,472.0,353.0,2818.0,208.0,354.0,-37.7565653,145.0690297,0.0,0.0,5.0,0.0,0.0,0.0
"7 Varna Court, 
HILLSIDE VIC 3037",HILLSIDE,420.0,16335.0,2089.8,36.3,11585.0,0.0,0.0,20.0,64.0,30.0,56.0,15.0,47.0,6.0,10.0,4657.0,506.0,108.0,380.0,689.0,11.0,257.0,-37.6970612,144.7495726,0.0,0.0,5.0,0.0,0.0,0.0
"1/9 Marner Street, 
HILLSIDE VIC 3037",HILLSIDE,420.0,16335.0,2089.8,36.3,11585.0,0.0,0.0,20.0,64.0,30.0,56.0,15.0,47.0,6.0,10.0,4657.0,506.0,108.0,380.0,689.0,11.0,257.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"17 Hunter Avenue, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,420.0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,-37.8696111,144.689172,0.0,0.0,11.0,0.0,0.0,0.0
"3 Incana Close, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,420.0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,-37.8576231,144.7086628,0.0,0.0,9.0,0.0,0.0,0.0
"5/3B Warrigal Road, 
HUGHESDALE VIC 3166",HUGHESDALE,420.0,7644.0,3803.9,37.9,5330.0,0.0,0.0,13.0,41.0,35.0,36.0,19.0,25.0,3.0,17.0,1703.0,1090.0,547.0,416.0,1019.0,56.0,344.0,-37.9012637,145.0866238,0.0,1.0,9.0,0.0,0.0,1.0
"101/60 Speakmen Street, 
KENSINGTON VIC 3031",KENSINGTON,420.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,-37.7943391,144.9169988,0.0,0.0,9.0,8.0,8.0,0.0
"204/86 Altona Street, 
KENSINGTON VIC 3031",KENSINGTON,420.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,-37.7964796,144.9250755,0.0,1.0,11.0,41.0,9.0,1.0
"13/18 Mawbey Street, 
KENSINGTON VIC 3031",KENSINGTON,420.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,-37.7901537,144.9231008,4.0,0.0,13.0,41.0,9.0,4.0
"19 Hurtle Street, 
LALOR VIC 3075",LALOR,420.0,23663.0,4579.1,75.1,15020.0,0.0,0.0,121.0,74.0,31.0,96.0,17.0,79.0,7.0,42.0,7707.0,515.0,572.0,716.0,2182.0,154.0,648.0,-37.67287635,145.01297546723887,0.0,0.0,13.0,0.0,0.0,0.0
"52/210 Cranbourne-Frankston Road Langwarrin VIC 3910, 
LANGWARRIN VIC 3910",LANGWARRIN,420.0,25248.0,671.1,38.4,16450.0,0.0,0.0,64.0,83.0,48.0,96.0,26.0,32.0,5.0,47.0,8037.0,1431.0,25.0,365.0,1530.0,49.0,151.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"5 Dunblane Road, 
NOBLE PARK VIC 3174",NOBLE PARK,565.0,40239.0,9559.5,110.7,27249.0,0.0,0.0,113.0,105.0,52.0,254.0,31.0,125.0,4.0,38.0,10611.0,2076.0,2758.0,1028.0,5145.0,608.0,1226.0,-37.9572428,145.1814968,0.0,0.0,9.0,0.0,0.0,0.0
"67/1a St Kilda Road, 
ST KILDA VIC 3182",ST KILDA,565.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,-37.8607871,144.9845539,12.0,0.0,14.0,0.0,0.0,12.0
"71 Stagecoach Crescent, 
SYDENHAM VIC 3037",SYDENHAM,565.0,11866.0,3005.6,36.7,8264.0,0.0,0.0,40.0,39.0,18.0,63.0,9.0,29.0,6.0,12.0,2744.0,1356.0,104.0,366.0,1182.0,14.0,353.0,-37.7040518,144.7654926,0.0,0.0,7.0,0.0,0.0,0.0
"3/50a Wattletree Road, 
ARMADALE VIC 3143",ARMADALE,570.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,-37.860876,145.0168317,9.0,0.0,18.0,0.0,0.0,9.0
"3 Ladd Way, 
BERWICK VIC 3806",BERWICK,570.0,23187.0,1174.1,43.3,14432.0,0.0,0.0,36.0,206.0,115.0,98.0,42.0,73.0,5.0,33.0,7430.0,1728.0,20.0,380.0,1533.0,140.0,241.0,-38.0513847,145.3264926,0.0,0.0,0.0,0.0,0.0,0.0
"3 Lawrence Court, 
BUNDOORA VIC 3083",BUNDOORA,570.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,-37.6953204,145.0612764,6.0,0.0,9.0,0.0,0.0,6.0
"104/86 Cade Way, 
PARKVILLE VIC 3052",PARKVILLE,550.0,7446.0,1838.9,26.8,6202.0,0.0,0.0,32.0,213.0,48.0,33.0,13.0,35.0,0.0,10.0,55.0,948.0,1811.0,396.0,1377.0,84.0,447.0,-37.7777142,144.9405608,0.0,0.0,15.0,4.0,0.0,0.0
"42 Zenith Street, 
PASCOE VALE VIC 3044",PASCOE VALE,550.0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,-37.7251616,144.9343703,0.0,0.0,12.0,0.0,0.0,0.0
"1/3 Somerset Street, 
PASCOE VALE VIC 3044",PASCOE VALE,550.0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,-37.7302086,144.9262577,0.0,1.0,12.0,0.0,0.0,1.0
"3/12 Essex St, 
PASCOE VALE VIC 3044",PASCOE VALE,550.0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,-37.7258529,144.9339423,0.0,0.0,12.0,0.0,0.0,0.0
"1A Ormond Street, 
PASCOE VALE VIC 3044",PASCOE VALE,550.0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,-37.726684,144.9417865,0.0,0.0,9.0,0.0,0.0,0.0
"7 REEVES STREET, 
POINT COOK VIC 3030",POINT COOK,550.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.8832836,144.7119436,0.0,0.0,8.0,0.0,0.0,0.0
"39 Pennsylvania Crescent, 
POINT COOK VIC 3030",POINT COOK,550.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.8897147,144.7157503,0.0,0.0,5.0,0.0,0.0,0.0
"50 Evesham Drive, 
POINT COOK VIC 3030",POINT COOK,550.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.9017194,144.7597919,0.0,0.0,5.0,0.0,0.0,0.0
"2 Cooktown Avenue, 
POINT COOK VIC 3030",POINT COOK,550.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.911599,144.7413614,0.0,0.0,2.0,0.0,0.0,0.0
"7 Reeves Street, 
POINT COOK VIC 3030",POINT COOK,550.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.8832836,144.7119436,0.0,0.0,8.0,0.0,0.0,0.0
"141 Beachview Parade, 
POINT COOK VIC 3030",POINT COOK,550.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.9075794,144.7680187,0.0,0.0,3.0,0.0,0.0,0.0
"29 Breakwater Crescent, 
POINT COOK VIC 3030",POINT COOK,550.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.8753334,144.7460685,0.0,0.0,3.0,0.0,0.0,0.0
"15 The Breezewater, 
POINT COOK VIC 3030",POINT COOK,550.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.8865333,144.7711545,0.0,0.0,3.0,0.0,0.0,0.0
"20 Exhibition Street, 
POINT COOK VIC 3030",POINT COOK,550.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.908949,144.7602723,0.0,0.0,5.0,0.0,0.0,0.0
